Customer_ID,Recency,Frequency,Monetary,R_Quintile,F_Quintile,M_Quintile,RFM_Score,RFM_Segment
CUST_00000,14.078042699305772,7,1.8524715427959342,4,4,1,441,Loyal Customers
CUST_00001,90.30364292752563,3,43.81549640595405,1,1,1,111,Cannot Lose Them
CUST_00002,39.50237080636348,0,23.198363855572758,2,1,1,211,At Risk
CUST_00003,27.3882766132786,10,76.83676613819328,3,5,2,352,Loyal Customers
CUST_00004,5.088746113870388,5,349.6005933503474,5,3,5,535,Champions
CUST_00005,5.087888757438155,5,210.8404465594019,5,3,4,534,Champions
CUST_00006,1.7951630582604203,3,37.02042521532826,5,1,1,511,Champions
CUST_00007,60.33692593439818,4,311.0105157040399,1,2,4,124,Cannot Lose Them
CUST_00008,27.572464608817935,2,140.32454579207,3,1,3,313,Potential Loyalists
CUST_00009,36.93750185113771,2,143.78106801727608,2,1,3,213,At Risk
CUST_00010,0.6239792399741586,7,89.91856867121462,5,4,2,542,Champions
CUST_00011,105.10672425474937,3,399.92855772007186,1,1,5,115,Cannot Lose Them
CUST_00012,53.59288630064025,1,76.6411308026274,1,1,2,112,Cannot Lose Them
CUST_00013,7.16062875746841,3,19.774049212693228,4,1,1,411,Loyal Customers
CUST_00014,6.020369662489901,7,72.11622519217921,5,4,2,542,Champions
CUST_00015,6.078342684967712,5,251.3014764015174,5,3,4,534,Champions
CUST_00016,10.882611883814313,5,214.34454708450596,4,3,4,434,Loyal Customers
CUST_00017,22.317834925825633,4,41.6552128219158,3,2,1,321,Potential Loyalists
CUST_00018,16.9661120034101,5,23.708131814719934,3,3,1,331,Potential Loyalists
CUST_00019,10.326689776618245,5,216.27185141419724,4,3,4,434,Loyal Customers
CUST_00020,28.39112621699396,3,225.63510261862217,2,1,4,214,At Risk
CUST_00021,4.50703586182016,3,91.1884746478149,5,1,2,512,Champions
CUST_00022,10.365465360072069,6,370.04904002026626,4,4,5,445,Champions
CUST_00023,13.688316546625412,6,765.2168088200416,4,4,5,445,Champions
CUST_00024,18.26804063579325,4,46.04501913560245,3,2,2,322,Potential Loyalists
CUST_00025,46.13808033092736,9,172.10911232193013,2,5,3,253,Potential Loyalists
CUST_00026,6.6820758638607085,6,1.0721343528866982,4,4,1,441,Loyal Customers
CUST_00027,21.660874650993833,5,249.69252287576808,3,3,4,334,Loyal Customers
CUST_00028,26.925141639292818,5,106.98340555782484,3,3,3,333,Potential Loyalists
CUST_00029,1.4269154926922563,4,42.95305617518986,5,2,1,521,Champions
CUST_00030,28.059990619488303,10,279.04435585095723,2,5,4,254,Potential Loyalists
CUST_00031,5.608837559322493,6,332.83035485546304,5,4,5,545,Champions
CUST_00032,2.0179179263791274,2,23.569070284179965,5,1,1,511,Champions
CUST_00033,89.21063380520792,4,8.371956950584176,1,2,1,121,Cannot Lose Them
CUST_00034,101.11891027383518,3,81.31667913247001,1,1,2,112,Cannot Lose Them
CUST_00035,49.5699471843863,2,196.6947978549969,1,1,4,114,Cannot Lose Them
CUST_00036,10.898635799062749,5,315.41304872990617,4,3,5,435,Loyal Customers
CUST_00037,3.0833194500751873,6,157.95914963856578,5,4,3,543,Champions
CUST_00038,34.58252289295985,5,173.85699190323734,2,3,3,233,At Risk
CUST_00039,17.40272527756195,10,321.7458544686531,3,5,5,355,Loyal Customers
CUST_00040,3.9045670186334593,5,150.51294028616434,5,3,3,533,Champions
CUST_00041,20.506416844024503,5,188.9146322717607,3,3,4,334,Loyal Customers
CUST_00042,1.0498116433043725,4,145.22390453135762,5,2,3,523,Champions
CUST_00043,72.01268662179072,4,424.81789142163615,1,2,5,125,Cannot Lose Them
CUST_00044,8.983733305220582,3,53.71099833953472,4,1,2,412,Loyal Customers
CUST_00045,32.58767395694941,6,61.3032887268668,2,4,2,242,At Risk
CUST_00046,11.20639744972871,4,27.384332127799105,4,2,1,421,Loyal Customers
CUST_00047,22.02332687727686,2,342.36806318507627,3,1,5,315,Potential Loyalists
CUST_00048,23.736713939453928,9,106.12992904940637,3,5,3,353,Loyal Customers
CUST_00049,6.131657985237172,5,85.5096125848658,5,3,2,532,Champions
CUST_00050,104.7842139820868,9,796.3680692731463,1,5,5,155,At Risk
CUST_00051,44.767361314144225,5,522.9211697373962,2,3,5,235,At Risk
CUST_00052,84.15283257874746,5,715.0221882859023,1,3,5,135,Cannot Lose Them
CUST_00053,67.5645599260259,1,30.699944259710154,1,1,1,111,Cannot Lose Them
CUST_00054,27.33163237149825,5,443.7440563558299,3,3,5,335,Loyal Customers
CUST_00055,76.48306137808216,8,79.71068956758943,1,5,2,152,At Risk
CUST_00056,2.7796637685934686,6,2.547509890927336,5,4,1,541,Champions
CUST_00057,6.544040838938024,2,99.28540195268403,4,1,3,413,Loyal Customers
CUST_00058,1.3884589706049586,5,142.342227145787,5,3,3,533,Champions
CUST_00059,11.805962604092604,5,22.90725771237745,4,3,1,431,Loyal Customers
CUST_00060,14.763908753826557,4,154.29856645508636,4,2,3,423,Loyal Customers
CUST_00061,9.49681329626477,6,342.3645543689078,4,4,5,445,Champions
CUST_00062,52.93673595722802,5,94.85083427139752,1,3,2,132,Cannot Lose Them
CUST_00063,13.236809985896105,6,86.9720299709375,4,4,2,442,Loyal Customers
CUST_00064,9.894085204027476,5,82.74293454679572,4,3,2,432,Loyal Customers
CUST_00065,23.47221249623238,4,513.0354359798185,3,2,5,325,Potential Loyalists
CUST_00066,4.556944434618866,7,9.997376736475665,5,4,1,541,Champions
CUST_00067,48.614507873241934,5,117.78487348551849,1,3,3,133,Cannot Lose Them
CUST_00068,2.32427606433927,7,61.46799357314795,5,4,2,542,Champions
CUST_00069,130.0243901876196,6,448.49946495741654,1,4,5,145,At Risk
CUST_00070,44.38451328724534,4,20.196746792027,2,2,1,221,At Risk
CUST_00071,6.6461832151765785,8,106.0162208262109,4,5,3,453,Champions
